weapon,driverHz,shotCount,paintStamps,impacts,peakProjectiles,scenario,gridHash,charge,lastPaintForward,maxOwnedForward,ownedWidth,ownedDepth,centerlineContinuous,connectedReach,ownedArea,simulationMilliseconds,inkSpent,attackSeconds,ownedAreaPerSecond,ownedAreaPer100Ink,emittedProjectiles,fullActions,fullTank,targetValidated,captureSet
1,60,20,80,20,3,continuous,fb4b170bd9b61721c0df1c5931d2e57b5d98572ca3315151a66f1f1cbb5383df,0.0,10.61065673828125,12.0,2.625,13.0,1.125,1.375,8.84375,69.6937,18.40000033378601,2.0000000000000004,4.421874999999999,48.06385782374764,20,False,False,False,after-direct
1,60,1,4,1,1,flat,6ed9114cc74a52158a25e6acfa0ac186b3ba09c9bf338d276c82be80d620006c,0.0,10.4659423828125,11.875,2.375,12.875,1.125,1.375,7.6875,38.006,0.9200000166893005,0.1,76.875,835.5978109287577,1,False,False,False,after-direct
1,60,1,4,1,1,high-drop,6149a38c5096f95dcc32c30eb641dd0196c9f34df29ff9608fa875f615585d4f,0.0,12.80584716796875,14.0,2.5,15.0,1.125,1.375,7.484375,37.106700000000004,0.9200000166893005,0.1,74.84375,813.5190069814531,1,False,False,False,after-direct
1,60,1,17,1,1,wall-middle,f3b05173bc9bc3ef7711c376f2ea9c980fa24820ed1d54fd747accc0bbbca7ae,0.0,6.0,6.25,3.625,7.25,1.125,1.375,8.03125,42.6935,0.9200000166893005,0.1,80.3125,872.9619406857346,1,False,False,False,after-direct
2,60,20,64,20,2,continuous,aa54aa751fd1a38ea503f18a7b2981ed7c28cb6bd8f570cfcab4758b2828799f,0.0,13.07672119140625,14.375,2.75,15.625,2.375,2.5,18.046875,109.1812,27.999999523162842,3.0000000715255752,6.0156248565763235,64.4531260976302,20,False,False,False,after-direct
2,60,1,4,1,1,flat,0eab0eb6b31d694eee2ff7e527f0a85a31c70260401e0fc9b563da2e8cd0f604,0.0,12.03436279296875,13.25,2.375,14.125,0.875,2.375,8.234375,60.8975,1.399999976158142,0.15000000357627877,54.895832024514675,588.1696528736123,1,False,False,False,after-direct
2,60,1,4,1,1,high-drop,2184592ff10ff56e5419fd5efce3b9256657e4dbc4cdc20ffec5174f6c96be83,0.0,16.60247802734375,17.625,2.375,18.5,0.875,2.375,7.796875,49.1426,1.399999976158142,0.15000000357627877,51.97916542738676,556.919652341428,1,False,False,False,after-direct
2,60,1,16,1,1,wall-middle,234622639b26f6b21c1e89889651dad8b1bfceca0cd3374c41fa365913606636,0.0,6.0,6.375,3.625,7.25,0.875,2.375,9.5,64.30380000000001,1.399999976158142,0.15000000357627877,63.333331823349,678.5714401274313,1,False,False,False,after-direct
3,60,20,4984,160,15,continuous,115de38d7b645ab0f3fe25350a13d50e0c77cc885cb65fcfa7bb5b623a524ac6,0.0,12.82720947265625,13.625,3.625,13.75,13.25,13.625,25.484375,910.9141000000001,80.0,8.000000000000002,3.185546874999999,31.85546875,160,False,False,False,after-direct
3,60,1,248,8,8,flat,4d24b5cd05295adf79346a0d5d9810909be0c64dd8b55a456e2d70642ffa49da,0.0,12.0206298828125,12.875,2.75,12.875,0.0,0.625,15.890625,115.70230000000001,4.0,0.4,39.7265625,397.265625,8,False,False,False,after-direct
