scenario,gridHash,trace.csv SHA256,paint.csv SHA256
w3-q0-up30-60,7340579c7668086f24b71385305d21698a0ccb1122c1015b49bf87a3f55e4906,9d0ad40ca3fc020f30bf4a737ba8e203720b226890c1a98c090a0f8d2f37d9e9,49b64da3d3e58db3a034fdd2a32689045b701bd2a00ed3272890e735aaaab683
w3-q0-wall-far-60,4957b274b9cbbc06f234a6dcaa094a14309b953afb6dad0532da4800c269f2c8,746fb603c919994a1116a4056a0612492f95e0afa68da8eac04b2096a64d29bb,346c8223ada546dbeafdff09edcaa3c2629d8c54b291994e6122d7530243ee40
w3-q0-wall-middle-60,cfb151d6ee3ec7907b54d76d4754c4bd0d6c25f6818f312f518abf282385b424,3f5845f810631313e0a9c0222e5e28d13c5b076336fd49f6004ad8201241c298,a24bf720e6248bfb76170f0b3ea4aac3b5159cbb04978ea4cd003d7e0c0aeed7
w3-q0-wall-near-60,97aeefb024c8c34307db2e3ff7b7870f95b22b1f5b041a1e87f4f7bf60b2d42d,a4f0805728f0f48150eef0f57b956548d270b685fffbb73ba238d16d92411f50,bd4a78ce74ee1234e088fd46c878c8c1bae9c3c390a58d1fb575e493be3d926d
w4-q0-continuous-144,a8a92f9b64bdd4b7c7c05f34bdaa8d2496abd3637e90cf941ebaeb9e72813ec6,c412449f58f4d13295873dc4c6db48a266408f38abbfa0d2e534a908a3eb4f7e,e4a851536cdf6f4dc3aa9b4f4375faabb38c76dc00338c5cd601953969afb2b6
w4-q0-continuous-30,85de4cd43c1f7912a540d28c8a6365d7c0c4c6629eecbc7034e4765111c8b6ad,6da3fd5e7ac34eda796b0ece828d492482abc66bfe4fb48e517038eeedb02561,9006c696f0a70b218f3013928aa0ef94e1bec17bb0aff3a75194d0eae0b3f456
w4-q0-continuous-60,85de4cd43c1f7912a540d28c8a6365d7c0c4c6629eecbc7034e4765111c8b6ad,ad9d39320a9b6eef88b3c2ad2fa4eda95b17fbc4ad6959bb4ff296f989d100f3,406b2562106312f8d24a98f3bb3ab8f6c7c4d4542580400adf9438e2ddc24814
w4-q0-down30-60,cfe2aac32f6401a38839c18d2460505a6f8cd0dcb2508f2b95f9b618b635d379,5dcaf73b00295198e8a520ebb074912d7ec0bfc0915d9c9ee4992749f20be4de,56ac8be2570653a694bb879f47603185bd6a043863760176e3719ae26c0eaa39
w4-q0-flat-60,a6031630b2f94a631737cae483b8a4ca3bea4799f4967e871e95f63e3ed290cc,a8954cdd50a6c237c6125befa0f280130f8a16fe7d8fab77af7caaae8198f364,3723465e7e07a873eea6a49a2798c618a6444eaf81187eb5d10b8a75759c1d9f
w4-q0-high-drop-60,1b55c4090971353fe250291b578c77a7a235e7f9da0b261775a79fe07379e5aa,0009f7db2e0749e9aa99ceb04e90f7899c92e46350aba082c585fa4af29b18ca,25c5b8cb265d722337d8716123e1cf10334d05893ff06a98678127f6466c02e8
w4-q0-occluded-60,2827165d5ee052cfb704f9878e8c90dadc8da795c28dafd94a2c223928f0c83d,b80c894d3bf317aba21c30f5b818dac23b3d82a062741d852c6774f001a1e70f,8c247469d5636a41986f5d99d7a8dedaa87e854f2230197594481564ceffba35
w4-q0-slope-60,fdc7bdf32d94fe1ce4516dd64a8fcef695fe318082ed01a0e223ce51fa2aa759,aa18ce99585b844dd1f176b5f69c2f2b4dcdd46b78cba23ca1cffcc68cbdb972,6881c9fe0fdeb92ea666a7f5aa03402b17fe0557807c9aa8290b24b4b2a21cb1
w4-q0-up30-60,6cec388b913d4b74465370345f2cdc952d0c5920e339ab8aa183c77d5e455d54,7c5443c735bcf6320a0b68dcf3302d8e8fa7df76c17a4b2f2e618c46cde83972,5954c3ed6712811099f5290d4ce57a7faf652354892fa909b226780705c00803
w4-q0-wall-far-60,5c2336b43176be1c5943bfa32964bfaab64b65b9b17bc145750d7a5f29e7d860,7b8cc02b4390cf843291226a916a66768f3bebe7ef5efef4099291cfada61504,2a385e698211de24e9e40fef324964094509f5ed747e5e0b463242d2a0714f06
w4-q0-wall-middle-60,da8240bef6e73efedcfee6827109da45fee1657f000cefb198eae43467261cb6,048eb159321385ca73fdee3d55c06c0a4778c6532ec167d728e9c862022efe5b,3f84563d8a09827eb88ba1863bac5ca57d181e6043218f2ddc45083498058b0a
w4-q0-wall-near-60,6cc9aece9f10f3ff50dc551495f51293b3e3ceb73d14481dc7e810db1b3bc208,130119245e337113e16b1da4431ed69008e0c192cf50be627df3e97f100d0600,e890679810f38ef7232d9288d3406d3cc2570fb3eea0ef74522c9a1ebf040cce
w5-q0-down30-60,50d553efad3de212c9a357819bb1524020758ecd139d5cddd69886ac69871929,fc7d3d8596cbea9d40a0bb4d859f416c12b4c1f56df4bdbe68e3dd42120b1a34,da0b781e79be8ea22fcbaac70f98f5fb9a65c8b25026273eaf364ea1ce44324f
w5-q0-flat-60,4f093814ca5b7b083e001d7db8f43ac91868dbb45815b7c6deecec5751fedab1,5f67b6fd29a561ad0ed1cd07d483c662a1e9f39a7fe08824c57355ae95715cb9,06ae9c083cec2caef98f4fcb9846a8986a8b7b8ade5e433b1f8c8845d9d245e2
w5-q0-high-drop-60,70502d6039559e71c069407b0433d45cb22a7d4bc3fb53bdcba32e20af959994,92b824afce306766bdfb8eeb935f7e268e1921c271f62981d67b4db90895d4d7,dd75878535f11a71f6052e29bd8584e92de7a65ed5f8ee6d7985e6e1f9222bcd
